№,Ige (HU),Infinitivus,Példamondat (HU),Verb (EN),Sentence (EN),Audio
662,kussol ⚠️,kussolni,"Most kussolj egy kicsit, kérlek!","to shut up, to keep quiet","Just shut up for a bit, please!",0662_kussol_m.mp3
663,felír,felírni,Felírom a címet egy papírra.,"to write down, to jot down",I'm writing down the address on a piece of paper.,0663_felir_m.mp3
664,vonul,vonulni,A tüntetők lassan vonulnak a téren.,"to march, to parade",The protesters are slowly marching in the square.,0664_vonul_m.mp3
665,izgat,izgatni,Nagyon izgatom magam a vizsga előtt.,"to get nervous, to worry",I get very nervous before the exam.,0665_izgat_m.mp3
666,mondogat,mondogatni,"Gyakran mondogatja, hogy fáradt.","to keep saying, to repeat",He keeps saying he's tired.,0666_mondogat_m.mp3
667,pakol,pakolni,Most pakolom a bőröndömet.,to pack,I'm packing my suitcase right now.,0667_pakol_m.mp3
668,megkönnyebbül,megkönnyebbülni,A jó hír hallatán végre megkönnyebbültem.,to feel relieved,"When I heard the good news, I finally felt relieved.",0668_megkonnyebbul_m.mp3
669,emelkedik,emelkedni,A nap lassan emelkedik az égen.,"to rise, to climb",The sun is slowly rising in the sky.,0669_emelkedik_m.mp3
670,meglehet,meglehetni,"Meglehet, hogy holnap esik az eső.",to be possible,It may well rain tomorrow.,0670_meglehet_m.mp3
671,meglepődik,meglepődni,Nagyon meglepődtem az ajándékon.,to be surprised,I was really surprised by the gift.,0671_meglepodik_m.mp3
672,garantál,garantálni,Garantálom a gyors szállítást holnapra.,to guarantee,I guarantee fast delivery by tomorrow.,0672_garantal_m.mp3
673,elfoglal,elfoglalni,Mindig elfoglalom a legjobb helyet.,to take (a seat/place),I always take the best seat.,0673_elfoglal_m.mp3
674,megver,megverni,Tegnap megvertek a meccsen.,to beat up,I got beat up at the match yesterday.,0674_megver_m.mp3
675,bevisz,bevinni,Reggel beviszem a biciklit a garázsba.,"to bring in, to take in",In the morning I bring the bike into the garage.,0675_bevisz_m.mp3
676,bérel,bérelni,Nyáron egy kis lakást bérelünk a tengernél.,to rent,In the summer we rent a small apartment by the sea.,0676_berel_m.mp3
677,megiszik,meginni,Reggel mindig megiszom egy csésze kávét.,"to drink up, to finish drinking",I always drink a cup of coffee in the morning.,0677_megiszik_m.mp3
678,dumál,dumálni,Egész nap a barátaimmal dumálok.,"to chat, to yap",I chat with my friends all day long.,0678_dumal_m.mp3
679,kivisz,kivinni,Reggel kiviszem a szemetet.,"to take out, to carry out",In the morning I take out the trash.,0679_kivisz_m.mp3
680,bűzlik,bűzleni,A szemét már nagyon bűzlik a konyhában.,"to stink, to reek",The trash in the kitchen already stinks.,0680_buzlik_m.mp3
681,teremt,teremteni,Gyönyörű világot teremtek.,to create,I am creating a beautiful world.,0681_teremt_m.mp3
682,visszaszerez,visszaszerezni,Tegnap visszaszereztem a pénzemet.,"to get back, to recover",Yesterday I got my money back.,0682_visszaszerez_m.mp3
683,kirabol,kirabolni,Tegnap kiraboltak egy nagy bankot.,to rob,Yesterday they robbed a big bank.,0683_kirabol_m.mp3
684,akadályoz,akadályozni,Néha akadályozlak a tanulásban.,"to hinder, to obstruct",Sometimes I hinder you from studying.,0684_akadalyoz_m.mp3
685,titkol,titkolni,Titkolom az érzéseimet előled.,"to hide, to keep secret",I am hiding my feelings from you.,0685_titkol_m.mp3
686,nyír,nyírni,Minden héten nyírom a füvet.,to mow,I mow the grass every week.,0686_nyir_m.mp3
687,bejelent,bejelenteni,Holnap bejelentem a jó hírt.,to announce,Tomorrow I will announce the good news.,0687_bejelent_m.mp3
688,visszaér,visszaérni,Estére biztosan visszaérek a városból.,"to be back, to get back",I will definitely be back from the city by evening.,0688_visszaer_m.mp3
689,kóstol,kóstolni,Ma este új levest kóstolok.,"to taste, to try",Tonight I am tasting a new soup.,0689_kostol_m.mp3
690,vérzik,vérezni,Erősen vérzik az ujjam.,to bleed,My finger is bleeding badly.,0690_verzik_m.mp3
691,ízlik,ízleni,Nagyon ízlik nekem ez a leves.,to taste good,This soup tastes really good to me.,0691_izlik_m.mp3
692,belegondol,belegondolni,"Ha jobban belegondolok, igazad van.","to think it over, to think carefully about","If I think about it more carefully, you are right.",0692_belegondol_m.mp3
693,megbíz,megbízni,Megbíztalak egy fontos feladattal.,"to entrust, to assign",I've entrusted you with an important task.,0693_megbiz_m.mp3
694,lerombol,lerombolni,Tegnap lerombolták a régi házat.,"to demolish, to tear down",Yesterday they demolished the old house.,0694_lerombol_m.mp3
695,hazavisz,hazavinni,Este hazaviszem a barátomat kocsival.,"to drive home, to take home",In the evening I'll drive my friend home by car.,0695_hazavisz_m.mp3
696,tettet,tettetni,Néha betegséget tettetek a munkahelyen.,"to fake, to pretend",Sometimes you pretended to be sick at work.,0696_tettet_m.mp3
697,létrehoz,létrehozni,Tegnap létrehoztam egy új e-mail-fiókot.,"to create, to set up",Yesterday I created a new email account.,0697_letrehoz_m.mp3
698,felhasznál,felhasználni,Ma minden tojást felhasználtam a süteményhez.,"to use up, to use",Today I used up all the eggs for the cake.,0698_felhasznal_m.mp3
699,visszavon,visszavonni,Tegnap visszavontam a kérdésemet.,"to take back, to withdraw",Yesterday I took back my question.,0699_visszavon_m.mp3
700,szakad,szakadni,Mindig szakadok a nevetéstől.,"to crack up, to burst out laughing",I always crack up laughing.,0700_szakad_m.mp3
701,helyrehoz,helyrehozni,Holnap helyrehozom a hibámat.,"to fix, to make up for",Tomorrow I'll fix my mistake.,0701_helyrehoz_m.mp3
702,átjön,átjönni,Holnap átjössz hozzánk vacsorára?,to come over,Are you coming over for dinner tomorrow?,0702_atjon_m.mp3
703,elfut,elfutni,A kutya gyorsan elfutott az utcán.,"to run away, to run off",The dog ran off quickly down the street.,0703_elfut_m.mp3
704,gyújt,gyújtani,Este gyertyát gyújtok a konyhában.,to light,In the evening I light a candle in the kitchen.,0704_gyujt_m.mp3
705,tartalmaz,tartalmazni,Ez a leves sok zöldséget tartalmaz.,to contain,This soup contains a lot of vegetables.,0705_tartalmaz_m.mp3
706,hülyéskedik,hülyéskedni,"Ne hülyéskedj most, sietünk!","to fool around, to mess around","Don't fool around now, we're in a hurry!",0706_hulyeskedik_m.mp3
707,leszar ⚠️,leszarni,Én leszarom az egészet.,"to not give a damn, to not give a shit",I don't give a shit about any of this.,0707_leszar_m.mp3
708,kínoz,kínozni,Ne kínozd a macskát!,"to torment, to torture",Don't torment the cat!,0708_kinoz_m.mp3
709,megjavít,megjavítani,Tegnap megjavítottam a régi kerékpárt.,"to fix, to repair",Yesterday I fixed the old bicycle.,0709_megjavit_m.mp3
710,szül,szülni,Tavaly egészséges kislányt szült.,to give birth to,Last year she gave birth to a healthy baby girl.,0710_szul_m.mp3
711,csodálkozik,csodálkozni,Nagyon csodálkozom a hideg időn.,"to be surprised, to wonder",I'm really surprised by the cold weather.,0711_csodalkozik_m.mp3
712,betesz,betenni,Beteszem a tejet a hűtőbe.,"to put in, to place inside",I'm putting the milk in the fridge.,0712_betesz_m.mp3
713,zaklat,zaklatni,Ne zaklass engem ilyen késő este!,"to bother, to harass",Don't bother me so late in the evening!,0713_zaklat_m.mp3
714,ölel,ölelni,Boldogan ölelem a barátomat.,"to hug, to embrace",I happily hug my friend.,0714_olel_m.mp3
715,megérint,megérinteni,Óvatosan megérintettem a forró tányért.,to touch,I carefully touched the hot dish.,0715_megerint_m.mp3
716,ránéz,ránézni,Reggel mindig ránézek az órára.,"to glance at, to look at",I always look at the clock in the morning.,0716_ranez_m.mp3
717,visszavonul,visszavonulni,Este korán visszavonulok a szobámba.,"to retire to, to withdraw to",In the evening I retire to my room early.,0717_visszavonul_m.mp3
718,benéz,benézni,Holnap benézek hozzátok egy kávéra.,"to drop by, to stop in",Tomorrow I'll drop by your place for a coffee.,0718_benez_m.mp3
719,pusztít,pusztítani,A vihar gyakran pusztítja a falvakat.,"to devastate, to ravage",The storm often devastates the villages.,0719_pusztit_m.mp3
720,uralkodik,uralkodni,Sokáig uralkodott az országban.,"to rule, to reign",He ruled the country for a long time.,0720_uralkodik_m.mp3
721,ront,rontani,A sok cukor rontja az egészséget.,"to harm, to damage",Too much sugar harms your health.,0721_ront_m.mp3
722,idéz,idézni,Gyakran idézem a kedvenc írómat.,to quote,I often quote my favorite author.,0722_idez_m.mp3
723,megragad,megragadni,Gyorsan megragadtam a kezét.,"to grab, to seize",I quickly grabbed their hand.,0723_megragad_m.mp3
724,találgat,találgatni,Egész nap találgattuk a helyes választ.,"to guess, to keep guessing",We spent the whole day guessing the right answer.,0724_talalgat_m.mp3
725,meghúz,meghúzni,Erősen meghúztam a csavart.,to tighten,I tightened the screw firmly.,0725_meghuz_m.mp3
726,bead,beadni,Holnap beadom a kérvényt az irodában.,"to submit, to hand in",Tomorrow I will submit the application at the office.,0726_bead_m.mp3
727,aggaszt,aggasztani,Mostanában nagyon aggasztasz engem.,"to worry, to concern",You worry me a lot lately.,0727_aggaszt_m.mp3
728,kapcsolódik,kapcsolódni,Ma este szívesen kapcsolódom a beszélgetéshez.,to join,I am happy to join the conversation tonight.,0728_kapcsolodik_m.mp3
729,utasít,utasítani,"Most arra utasítalak, hogy maradj.","to order, to instruct",I am ordering you to stay now.,0729_utasit_m.mp3
730,befolyásol,befolyásolni,Az időjárás gyakran befolyásolja a hangulatomat.,"to affect, to influence",The weather often affects my mood.,0730_befolyasol_m.mp3
731,megerőszakol,megerőszakolni,A bíróság szerint megerőszakolta az áldozatot.,to rape,"According to the court, he raped the victim.",0731_megeroszakol_m.mp3
732,átkutat,átkutatni,Tegnap átkutattam az egész lakást.,to search thoroughly,Yesterday I searched the whole apartment thoroughly.,0732_atkutat_m.mp3
733,elmúlik,elmúlni,Már elmúltam húszéves.,"to be past (an age), to have turned",I'm already past twenty.,0733_elmulik_m.mp3
734,dől,dőlni,"Vigyázz, mert a falnak dőlsz!",to lean against,"Watch out, because you're leaning against the wall!",0734_dol_m.mp3
735,fejlődik,fejlődni,Mostanában sokat fejlődöm a magyarban.,"to improve, to make progress",Lately I've been improving a lot in Hungarian.,0735_fejlodik_m.mp3
736,megbánt,megbántani,Tegnap véletlenül megbántottam a barátomat.,"to hurt, to offend",Yesterday I accidentally hurt my friend.,0736_megbant_m.mp3
737,mozgat,mozgatni,Reggel mindig mozgatom a karomat.,to move (a body part),Every morning I move my arm.,0737_mozgat_m.mp3
738,harap,harapni,A kutya néha megijed és harap.,to bite,The dog sometimes gets scared and bites.,0738_harap_m.mp3
739,parkol,parkolni,Mindig a ház előtt parkolok.,to park,I always park in front of the house.,0739_parkol_m.mp3
740,vonatkozik,vonatkozni,Ez a szabály mindenkire vonatkozik.,"to apply to, to concern",This rule applies to everyone.,0740_vonatkozik_m.mp3
741,hozzászokik,hozzászokni,Lassan hozzászokom az új munkához.,"to get used to, to adjust to",I'm slowly getting used to the new job.,0741_hozzaszokik_m.mp3
742,kiver,kiverni,Tegnap kivertem a port a szőnyegből.,"to beat out, to pound out",Yesterday I beat the dust out of the carpet.,0742_kiver_m.mp3
743,lejön,lejönni,Mindjárt lejövök a lépcsőn.,to come down,I'll be right down.,0743_lejon_m.mp3
744,összehoz,összehozni,Tegnap összehoztam egy fontos találkozót.,"to arrange, to set up",Yesterday I arranged an important meeting.,0744_osszehoz_m.mp3
745,különbözik,különbözni,Ez a város nagyon különbözik a miénktől.,"to differ from, to be different from",This city is very different from ours.,0745_kulonbozik_m.mp3
746,kilyukad,kilyukadni,Tegnap kilyukadt a zoknim a sétán.,"to wear through, to get a hole",Yesterday my sock wore through on my walk.,0746_kilyukad_m.mp3
747,üzletel,üzletelni,Régóta üzletelünk ezzel a céggel.,to do business,We've been doing business with this company for a long time.,0747_uzletel_m.mp3
748,szalad,szaladni,Reggelente a parkban szaladok.,to run,In the mornings I run in the park.,0748_szalad_m.mp3
749,belehal,belehalni,Majdnem belehaltam a szégyenbe tegnap.,to die of (something),I almost died of shame yesterday.,0749_belehal_m.mp3
750,unatkozik,unatkozni,Mindig unatkozom a buszon.,to be bored,I'm always bored on the bus.,0750_unatkozik_m.mp3
751,beszáll,beszállni,Reggel mindig beszállok a buszba.,"to get on, to board",Every morning I get on the bus.,0751_beszall_m.mp3
752,örököl,örökölni,Tavaly egy régi házat örököltem.,to inherit,Last year I inherited an old house.,0752_orokol_m.mp3
753,engedélyez,engedélyezni,Ma engedélyeztem a szabadságodat.,"to approve, to authorize",Today I approved your leave.,0753_engedelyez_m.mp3
754,összeházasodik,összeházasodni,Tavaly nyáron házasodtunk össze.,to get married,We got married last summer.,0754_osszehazasodik_m.mp3
755,gyógyul,gyógyulni,A seb gyorsan gyógyul.,to heal,The wound is healing quickly.,0755_gyogyul_m.mp3
756,közelít,közelíteni,A vonat lassan közelít az állomáshoz.,to approach,The train is slowly approaching the station.,0756_kozelit_m.mp3
757,ragyog,ragyogni,Ma reggel ragyogok a boldogságtól.,"to beam, to glow",This morning I am beaming with happiness.,0757_ragyog_m.mp3
758,erőltet,erőltetni,Ne erőltesd a dolgot!,"to force, to push",Don't force it!,0758_eroltet_m.mp3
759,sodor,sodorni,Reggel cigarettát sodrok a kertben.,to roll,In the morning I roll a cigarette in the garden.,0759_sodor_m.mp3
760,nyílik,nyílni,Tavasszal nyílnak a virágok a kertben.,"to bloom, to open",In spring the flowers bloom in the garden.,0760_nyilik_m.mp3
761,súg,súgni,Halkan súgok neked egy titkot.,to whisper,I quietly whisper a secret to you.,0761_sug_m.mp3
762,gyanít,gyanítani,"Gyanítom, hogy ma esni fog.","to suspect, to have a hunch",I suspect it's going to rain today.,0762_gyanit_m.mp3
763,kitart,kitartani,Még két napig kitartok a diétám mellett.,"to stick to, to persevere",I'll stick to my diet for two more days.,0763_kitart_m.mp3
764,óhajt,óhajtani,Békét és nyugalmat óhajtok.,"to wish for, to desire",I wish for peace and quiet.,0764_ohajt_m.mp3
765,megsért,megsérteni,"Ne haragudj, nem akartalak megsérteni.","to offend, to hurt (someone's feelings)","Don't be angry, I didn't mean to offend you.",0765_megsert_m.mp3
766,beleszeret,beleszeretni,Első látásra beleszerettem a városba.,to fall in love with,I fell in love with the city at first sight.,0766_beleszeret_m.mp3
767,megtagad,megtagadni,Mindig megtagadom tőle a segítséget.,"to refuse, to deny",I always refuse him help.,0767_megtagad_m.mp3
768,együttműködik,együttműködni,Szívesen együttműködöm a csapattal.,"to cooperate, to work together",I'm happy to cooperate with the team.,0768_egyuttmukodik_m.mp3
769,edz,edzeni,Minden reggel a parkban edzek.,"to train, to work out",I work out in the park every morning.,0769_edz_m.mp3
770,fogy,fogyni,Gyorsan fogy a pénzünk.,to run out,Our money is running out fast.,0770_fogy_m.mp3
771,fázik,fázni,Télen mindig nagyon fázom.,"to be cold, to feel cold",In winter I always feel very cold.,0771_fazik_m.mp3
772,jegyez,jegyezni,Mindig jegyzem a határidőket a naptáramba.,"to note down, to write down",I always write down the deadlines in my calendar.,0772_jegyez_m.mp3
773,ismétel,ismételni,Lefekvés előtt gyakran ismétlem a szavakat.,"to repeat, to go over",Before going to bed I often go over the words.,0773_ismetel_m.mp3
774,rémlik,rémleni,"Most úgy rémlik, hogy bezártam az ajtót.","to have a vague feeling, to seem vaguely",Right now I have a vague feeling that I locked the door.,0774_remlik_m.mp3
775,megesik,megesni,Velem is megesik néha.,"to happen, to occur",It happens to me sometimes too.,0775_megesik_m.mp3
776,dong,dongani,Egy méh hangosan dong a kertben.,"to buzz, to hum",A bee is buzzing loudly in the garden.,0776_dong_m.mp3
777,közeleg,közelegni,Lassan közeleg a tavasz.,"to approach, to draw near",Spring is slowly drawing near.,0777_kozeleg_m.mp3
778,időzít,időzíteni,Az utazást a nyári szünetre időzítettem.,"to time, to schedule",I timed the trip for the summer holidays.,0778_idozit_m.mp3
779,igazol,igazolni,Holnap igazolom a hiányzásomat az orvosnál.,"to excuse, to certify",Tomorrow I will get a doctor's note for my absence.,0779_igazol_m.mp3
780,elkísér,elkísérni,Reggel elkísérlek a buszmegállóig.,"to walk someone to, to accompany",In the morning I will walk you to the bus stop.,0780_elkiser_m.mp3
781,bujkál,bujkálni,Egész nap a szobájában bujkált.,"to hide, to hide away",He was hiding away in his room all day.,0781_bujkal_m.mp3
782,eltávolít,eltávolítani,Gyorsan eltávolítom a foltot a pólóról.,"to remove, to get out",I'm quickly removing the stain from the T-shirt.,0782_eltavolit_m.mp3
783,visszavisz,visszavinni,Holnap visszaviszem a könyvet a könyvtárba.,"to take back, to return",Tomorrow I'll take the book back to the library.,0783_visszavisz_m.mp3
784,temet,temetni,Ma temetik a katonákat a temetőben.,to bury,Today the soldiers are being buried at the cemetery.,0784_temet_m.mp3
785,megzavar,megzavarni,"Bocsánat, megzavartalak a munkában?","to disturb, to interrupt","Sorry, did I disturb you at work?",0785_megzavar_m.mp3
786,szökik,szökni,Éjjel szöktem a börtönből.,"to escape, to break out",I escaped from prison at night.,0786_szokik_m.mp3
787,megköszön,megköszönni,Megköszöntem a tanárnőnek a segítséget.,to thank (someone for something),I thanked the teacher for her help.,0787_megkoszon_m.mp3
788,kimarad,kimaradni,Sajnos kimaradtam a buliból.,"to miss out on, to be left out of","Unfortunately, I missed out on the party.",0788_kimarad_m.mp3
789,tartózkodik,tartózkodni,Most a szállodában tartózkodom.,"to stay, to be staying",I'm staying at the hotel right now.,0789_tartozkodik_m.mp3
790,feltör,feltörni,Tegnap feltörték az e-mail fiókomat.,"to hack, to break into",Yesterday my email account was hacked.,0790_feltor_m.mp3
791,erősít,erősíteni,Minden reggel edzéssel erősítem a hátizmaimat.,to strengthen,Every morning I strengthen my back muscles with exercise.,0791_erosit_m.mp3
792,ural,uralni,Sokáig uralták az egész vidéket.,"to rule, to dominate",They ruled the whole region for a long time.,0792_ural_m.mp3
793,szabadít,szabadítani,Most szabadítjuk a foglyot a rabságból.,"to free, to release",We are freeing the prisoner from captivity right now.,0793_szabadit_m.mp3
794,vonz,vonzani,A nagyvárosok mindig vonzanak engem.,to attract,Big cities always attract me.,0794_vonz_m.mp3
795,becsül,becsülni,Nagyon becsüllek téged a munkádért.,"to respect, to value",I really respect you for your work.,0795_becsul_m.mp3
796,kizár,kizárni,Ezt a lehetőséget most nem zárom ki.,"to rule out, to exclude",I'm not ruling out this possibility right now.,0796_kizar_m.mp3
797,ellát,ellátni,Mindennap friss vízzel látom el a kutyát.,"to supply, to provide",Every day I provide the dog with fresh water.,0797_ellat_m.mp3
798,megsemmisít,megsemmisíteni,A tűz tegnap megsemmisítette a régi raktárt.,"to destroy, to annihilate",The fire destroyed the old warehouse yesterday.,0798_megsemmisit_m.mp3
799,megfullad,megfulladni,Majdnem megfulladtam a sűrű füstben.,"to suffocate, to choke",I almost suffocated in the thick smoke.,0799_megfullad_m.mp3
800,lecsap,lecsapni,Egy légyre csaptam le az asztalon.,to swat,I swatted a fly on the table.,0800_lecsap_m.mp3
801,becsap,becsapni,Ne csapj be engem többé!,"to deceive, to fool",Don't fool me again!,0801_becsap_m.mp3
802,kételkedik,kételkedni,Néha kételkedem a döntéseimben.,"to doubt, to have doubts about",Sometimes I doubt my own decisions.,0802_ketelkedik_m.mp3
803,kiszed,kiszedni,Kiszedem a húst a fagyasztóból.,"to take out, to remove",I'm taking the meat out of the freezer.,0803_kiszed_m.mp3
804,csuk,csukni,Este mindig csukom az ablakot.,"to close, to shut",I always close the window in the evening.,0804_csuk_m.mp3
805,növel,növelni,Minden héten növelem a megtakarításomat.,"to increase, to raise",Every week I increase my savings.,0805_novel_m.mp3
806,verekedik,verekedni,Tegnap az iskolában verekedtem egy fiúval.,"to fight, to get into a fight",Yesterday at school I got into a fight with a boy.,0806_verekedik_m.mp3
807,merül,merülni,Nyáron mélyen a vízbe merülök.,"to dive, to plunge",In summer I dive deep into the water.,0807_merul_m.mp3
808,felszáll,felszállni,Reggel mindig a hatos buszra szállok fel.,"to get on, to board",In the morning I always get on the number six bus.,0808_felszall_m.mp3
809,dohányzik,dohányozni,A teraszon mindig dohányzik vacsora után.,to smoke,He always smokes on the terrace after dinner.,0809_dohanyzik_m.mp3
810,kicserél,kicserélni,Holnap kicserélem a régi telefonomat.,"to replace, to swap out",Tomorrow I'm replacing my old phone.,0810_kicserel_m.mp3
811,tűnődik,tűnődni,Néha sokáig tűnődöm a jövőmön.,"to ponder, to muse",Sometimes I ponder my future for a long time.,0811_tunodik_m.mp3
812,retteg,rettegni,Mindig rettegek a fogorvostól.,"to dread, to fear",I always dread the dentist.,0812_retteg_m.mp3
813,odavan,odalenni,Odavagyok ezért a süteményért.,"to be crazy about, to be nuts about",I'm crazy about this cake.,0813_odavan_m.mp3
814,köszönt,köszönteni,Reggel mindig vidáman köszöntöm a szomszédokat.,to greet,Every morning I cheerfully greet the neighbors.,0814_koszont_m.mp3
815,megemlít,megemlíteni,A megbeszélésen megemlítettem ezt a problémát.,"to mention, to bring up",I mentioned this problem at the meeting.,0815_megemlit_m.mp3
816,büntet,büntetni,Igazságosan büntetjük a bűnösöket.,to punish,We punish the guilty fairly.,0816_buntet_m.mp3
817,bekapcsol,bekapcsolni,Reggel mindig bekapcsolom a rádiót.,"to turn on, to switch on",Every morning I turn on the radio.,0817_bekapcsol_m.mp3
818,csökkent,csökkenteni,Csökkentettük a költségeket tavaly.,"to reduce, to cut",We reduced the costs last year.,0818_csokkent_m.mp3
819,feláldoz,feláldozni,Sokat feláldoztam a családomért.,to sacrifice,I sacrificed a lot for my family.,0819_felaldoz_m.mp3
820,reggelizik,reggelizni,Reggel mindig otthon reggelizem.,to have breakfast,Every morning I have breakfast at home.,0820_reggelizik_m.mp3
821,belefárad,belefáradni,Hamar belefáradtam a várakozásba.,"to get tired of, to grow weary of",I quickly got tired of waiting.,0821_belefarad_m.mp3
822,kibír,kibírni,Már nem bírom ki ezt a hideget.,"to stand, to bear, to put up with",I can't take this cold anymore.,0822_kibir_m.mp3
823,észlel,észlelni,Reggel azonnal észleltem a hibát.,"to notice, to detect",In the morning I noticed the mistake right away.,0823_eszlel_m.mp3
824,kerget,kergetni,A kutya minden reggel kergeti a macskát.,"to chase, to run after",The dog chases the cat every morning.,0824_kerget_m.mp3
825,kitesz,kitenni,Reggel kiteszem a szemetet az utcára.,"to put out, to take out",In the morning I take the trash out.,0825_kitesz_m.mp3
826,megcsal,megcsalni,Sajnos megcsalt engem tavaly nyáron.,"to cheat on, to be unfaithful to","Unfortunately, he cheated on me last summer.",0826_megcsal_m.mp3
827,lovagol,lovagolni,Minden vasárnap lovagolok a réten.,to ride (a horse),Every Sunday I go horse riding in the meadow.,0827_lovagol_m.mp3
828,bedob,bedobni,Reggel gyorsan bedobom a leveleket a postaládába.,"to drop in, to toss into",In the morning I quickly drop the letters into the mailbox.,0828_bedob_m.mp3
829,kérdezősködik,kérdezősködni,A szomszédról kérdezősködtem a boltban.,"to ask around about, to inquire about",I was asking around about the neighbor at the shop.,0829_kerdezoskodik_m.mp3
830,rejtőzik,rejtőzni,Most a fa mögött rejtőzöm.,"to hide, to conceal oneself",I'm hiding behind the tree right now.,0830_rejtozik_m.mp3
831,meggyógyul,meggyógyulni,"Remélem, hamarosan meggyógyulsz.","to get better, to recover",I hope you get better soon.,0831_meggyogyul_m.mp3
832,idead,ideadni,"Kérlek, ideadod most a sót?","to pass, to hand","Can you pass me the salt now, please?",0832_idead_m.mp3
833,elvár,elvárni,Mindig sok segítséget várok el tőled.,to expect,I always expect a lot of help from you.,0833_elvar_m.mp3
834,jelöl,jelölni,Pirossal jelölöm az utat a térképen.,to mark,I'm marking the route in red on the map.,0834_jelol_m.mp3
835,bújik,bújni,Ő gyorsan az ágy alá bújik.,"to slip (under), to hide (under)",He quickly slips under the bed.,0835_bujik_m.mp3
836,bekerül,bekerülni,A csapatba végre bekerültem.,"to make it into, to get into",I finally made it onto the team.,0836_bekerul_m.mp3
837,megmérgez,megmérgezni,Tegnap véletlenül megmérgezte a patkányokat.,to poison,Yesterday he accidentally poisoned the rats.,0837_megmergez_m.mp3
838,alakít,alakítani,A színész egy orvost alakít a filmben.,"to play (a role), to portray",The actor plays a doctor in the film.,0838_alakit_m.mp3
839,csomagol,csomagolni,Most csomagolom a bőröndömet.,to pack,I'm packing my suitcase right now.,0839_csomagol_m.mp3
840,végignéz,végignézni,Tegnap végignéztem egy jó filmet.,to watch all the way through,Yesterday I watched a good movie all the way through.,0840_vegignez_m.mp3
841,elhatároz,elhatározni,"Elhatároztam, hogy holnap korán kelek.","to decide, to make up one's mind",I decided that I would get up early tomorrow.,0841_elhataroz_m.mp3
842,keveredik,keveredni,Tegnap véletlenül egy vitába keveredtem.,"to get into, to end up in",Yesterday I accidentally got into an argument.,0842_keveredik_m.mp3
843,tanulmányoz,tanulmányozni,Most a térképet tanulmányozom.,"to study, to examine",I am studying the map right now.,0843_tanulmanyoz_m.mp3
844,beindul,beindulni,Reggel az autó nem indult be.,to start (of an engine/vehicle),This morning the car wouldn't start.,0844_beindul_m.mp3
845,odanéz,odanézni,"Gyorsan odanéztem, de már nem volt ott senki.","to glance over, to look that way","I quickly glanced over, but there was nobody there anymore.",0845_odanez_m.mp3
846,csalódik,csalódni,Nagyon csalódtam ebben a filmben.,to be disappointed (in),I was very disappointed in this film.,0846_csalodik_m.mp3
847,tartogat,tartogatni,A jó híreket a végére tartogatom.,"to save up, to keep in reserve",I am saving the good news for last.,0847_tartogat_m.mp3
848,besétál,besétálni,Lassan besétáltam a boltba.,"to walk into, to stroll in",I slowly walked into the shop.,0848_besetal_m.mp3
849,kísért,kísérteni,Ne kísérts engem édességgel!,to tempt,Don't tempt me with sweets!,0849_kisert_m.mp3
850,felhúz,felhúzni,Reggel gyorsan felhúzom a kabátomat.,"to put on, to pull on (clothing)",In the morning I quickly put on my coat.,0850_felhuz_m.mp3
851,lenyomoz,lenyomozni,Végül lenyomoztuk a tolvajt.,"to track down, to hunt down",We finally tracked down the thief.,0851_lenyomoz_m.mp3
852,növekszik,növekedni,Tavasszal gyorsan növekszik a fű.,to grow,"In spring, the grass grows fast.",0852_novekszik_m.mp3
853,körülnéz,körülnézni,A boltban lassan körülnéztem.,to look around,I slowly looked around the shop.,0853_korulnez_m.mp3
854,eltemet,eltemetni,Tegnap eltemettük a kutyánkat a kertben.,to bury,Yesterday we buried our dog in the garden.,0854_eltemet_m.mp3
855,kefél ⚠️,kefélni,Minden reggel kefélem a hajamat.,to brush (vulgar primary sense: to fuck),Every morning I brush my hair.,0855_kefel_m.mp3
856,gyógyít,gyógyítani,Ő gyógyítja a betegeket a kórházban.,"to treat, to heal",She treats patients at the hospital.,0856_gyogyit_m.mp3
857,felemel,felemelni,Könnyen felemelem ezt a nehéz táskát.,"to lift, to pick up",I easily lift this heavy bag.,0857_felemel_m.mp3
858,kínál,kínálni,Mindig kávéval kínálom a vendégeket.,"to offer, to treat (someone to something)",I always offer the guests coffee.,0858_kinal_m.mp3
859,remeg,remegni,A hidegben remegtem egy kicsit.,"to shiver, to tremble",I shivered a little in the cold.,0859_remeg_m.mp3
860,pazarol,pazarolni,Ne pazarold a vizet reggel!,to waste,Don't waste the water in the morning!,0860_pazarol_m.mp3
861,kiborul,kiborulni,Néha teljesen kiborulok a munkahelyen.,"to lose it, to freak out",Sometimes I totally lose it at work.,0861_kiborul_m.mp3
862,tüntet,tüntetni,Holnap a téren tüntetünk a békéért.,"to protest, to demonstrate",Tomorrow we are demonstrating in the square for peace.,0862_tuntet_m.mp3
863,hozzáér,hozzáérni,Ne érj hozzá a forró tűzhelyhez!,to touch,Don't touch the hot stove!,0863_hozzaer_m.mp3
864,leszed,leszedni,Ebéd után leszedem az asztalt.,to clear (the table),After lunch I'll clear the table.,0864_leszed_m.mp3
865,higgad,higgadni,A vita után lassan higgadok.,"to calm down, to cool down",After the argument I slowly calm down.,0865_higgad_m.mp3
