№,Ige (HU),Infinitivus,Példamondat (HU),Глагол (RU),Перевод (RU),Audio
612,mászik,mászni,Ügyesen mászom a fára.,"лезть, карабкаться, ползти",Я ловко лезу на дерево.,0612_maszik_m.mp3
613,befog,befogni,Reggel befogja a lovakat a szekér elé.,запрягает,Утром он запрягает лошадей в телегу.,0613_befog_m.mp3
614,bulizik,bulizni,Ma este a barátaimmal bulizom.,"тусоваться, веселиться",Сегодня вечером я тусуюсь с друзьями.,0614_bulizik_m.mp3
615,megsérül,megsérülni,Tegnap megsérültem a meccsen.,"получить травму, пораниться",Вчера я получил травму на матче.,0615_megserul_m.mp3
616,zajlik,zajlani,Most fontos esemény zajlik a városban.,"происходить, протекать",Сейчас в городе происходит важное событие.,0616_zajlik_m.mp3
617,eltéved,eltévedni,Tegnap eltévedtem a nagy városban.,"заблудиться, потеряться",Вчера я заблудился в большом городе.,0617_elteved_m.mp3
618,előfordul,előfordulni,Ilyen hiba ritkán fordul elő.,"случаться, встречаться",Такая ошибка случается редко.,0618_elofordul_m.mp3
619,ráz,rázni,Reggel mindig rázom a takarót.,встряхиваю,Утром я всегда встряхиваю одеяло.,0619_raz_m.mp3
620,rajzol,rajzolni,Most egy nagy házat rajzolok.,рисовать,Сейчас я рисую большой дом.,0620_rajzol_m.mp3
621,végződik,végződni,A vizsgám jól végződött.,заканчиваться / закончиться,Мой экзамен закончился хорошо.,0621_vegzodik_m.mp3
622,házasodik,házasodni,"Jövőre házasodom, alig várom!","жениться, вступать в брак","В следующем году я женюсь, жду не дождусь!",0622_hazasodik_m.mp3
623,bukik,bukni,Nyáron a víz alá bukok.,нырять / ныряю,Летом я ныряю под воду.,0623_bukik_m.mp3
624,elkövet,elkövetni,Tegnap egy nagy hibát követtem el.,совершать / совершить,Вчера я совершил большую ошибку.,0624_elkovet_m.mp3
625,eldob,eldobni,Ezt most eldobom.,выбросить,Я сейчас это выброшу.,0625_eldob_m.mp3
626,költ,költeni,Sok pénzt költök ruhákra.,тратить,Я трачу много денег на одежду.,0626_kolt_m.mp3
627,lefoglal,lefoglalni,Tegnap lefoglaltam egy szállodai szobát.,забронировал,Вчера я забронировал номер в гостинице.,0627_lefoglal_m.mp3
628,folytatódik,folytatódni,A film holnap folytatódik a moziban.,продолжаться,Фильм продолжится завтра в кинотеатре.,0628_folytatodik_m.mp3
629,összeszed,összeszedni,Gyorsan összeszedem a játékokat a földről.,собирать / собрать,Я быстро собираю игрушки с пола.,0629_osszeszed_m.mp3
630,nevel,nevelni,Két kislányt nevelünk otthon.,"воспитывать, растить",Мы воспитываем дома двух маленьких дочек.,0630_nevel_m.mp3
631,megfordul,megfordulni,"Lassan megfordultam, és rád néztem.","обернуться, повернуться",Я медленно обернулся и посмотрел на тебя.,0631_megfordul_m.mp3
632,ered,eredni,Régi nemesi családból eredek.,происходить,Я происхожу из старинного дворянского рода.,0632_ered_m.mp3
633,gyilkol,gyilkolni,A filmben a gonosz ember kegyetlenül gyilkol.,"убивать, совершать убийства",В фильме злой человек жестоко убивает.,0633_gyilkol_m.mp3
634,beleegyezik,beleegyezni,Végül beleegyezett a tervbe.,согласился,В конце концов он согласился на план.,0634_beleegyezik_m.mp3
635,szorít,szorítani,Ma este a magyar csapatnak szorítunk.,болеть за (кого-л.); сжимать,Сегодня вечером мы болеем за венгерскую команду.,0635_szorit_m.mp3
636,jelenik,jelenni,Néha furcsa hibák jelennek meg a képernyőn.,появляться,Иногда странные ошибки появляются на экране.,0636_jelenik_m.mp3
637,felbukkan,felbukkanni,Hirtelen felbukkant egy ismerős arc.,"появляться, всплывать",Внезапно появилось знакомое лицо.,0637_felbukkan_m.mp3
638,alkalmaz,alkalmazni,Ezt a módszert gyakran alkalmazzuk a munkában.,применять; нанимать на работу,Этот метод мы часто применяем на работе.,0638_alkalmaz_m.mp3
639,forgat,forgatni,Most egy új filmet forgatnak a parkban.,"снимать (фильм); вращать, крутить",Сейчас они снимают новый фильм в парке.,0639_forgat_m.mp3
640,feled,feledni,Sosem feledem ezt a szép napot.,забывать / забыть,Я никогда не забуду этот прекрасный день.,0640_feled_m.mp3
641,mar,marni,A füst marja a szememet.,"кусать; разъедать, есть",Дым ест мне глаза.,0641_mar_m.mp3
642,idehoz,idehozni,Holnap idehozom a könyvedet.,приносить сюда,Завтра я принесу сюда твою книгу.,0642_idehoz_m.mp3
643,szorul,szorulni,Most segítségre szorulunk.,нуждаться (в чём-л.); застревать,Сейчас мы нуждаемся в помощи.,0643_szorul_m.mp3
644,megbízik,megbízni,Teljesen megbízom benned.,"доверять (кому-л.), полагаться",Я полностью тебе доверяю.,0644_megbizik_m.mp3
645,elrejt,elrejteni,Gyorsan elrejtettem a kulcsot a szőnyeg alá.,прятать / спрятать,Я быстро спрятал ключ под ковёр.,0645_elrejt_m.mp3
646,tárgyal,tárgyalni,Holnap a főnökkel tárgyalok a fizetésről.,обсуждать,Завтра я веду переговоры с начальником о зарплате.,0646_targyal_m.mp3
647,zuhan,zuhanni,Tegnap majdnem a földre zuhantam.,падать,Вчера я чуть не упал на землю.,0647_zuhan_m.mp3
648,csodál,csodálni,Gyakran csodálom a naplementét a tengernél.,"восхищаться, любоваться (кем-/чем-л.)",Я часто любуюсь закатом у моря.,0648_csodal_m.mp3
649,boldogul,boldogulni,Egyedül is jól boldogulok a munkámmal.,"справляться, преуспевать",Я и один хорошо справляюсь со своей работой.,0649_boldogul_m.mp3
650,passzol,passzolni,Ez a sapka jól passzol a kabátodhoz.,"подходить, сочетаться (к чему-л.)",Эта шапка хорошо подходит к твоему пальто.,0650_passzol_m.mp3
651,leállít,leállítani,Gyorsan leállítottam a gépet.,останавливать / остановить,Я быстро остановил машину (станок).,0651_leallit_m.mp3
652,megtanít,megtanítani,Megtanítlak úszni a nyáron.,"научить, обучить (кого-л. чему-л.)",Я научу тебя плавать летом.,0652_megtanit_m.mp3
653,visszautasít,visszautasítani,Udvariasan visszautasítottam a meghívást.,отклонять / отвергать (что-л.),Я вежливо отклонил приглашение.,0653_visszautasit_m.mp3
654,mér,mérni,Minden reggel mérem a súlyomat.,взвешиваться,Каждое утро я взвешиваюсь.,0654_mer_m.mp3
655,pisil,pisilni,A kutya minden reggel a fa mellé pisil.,"писать, мочиться",Собака каждое утро писает возле дерева.,0655_pisil_m.mp3
656,megijeszt,megijeszteni,Tegnap este nagyon megijesztettél engem.,"напугать, испугать",Вчера вечером ты меня очень напугал.,0656_megijeszt_m.mp3
657,elvág,elvágni,Késsel elvágtam a zsineget.,"перерезать, отрезать",Я перерезал верёвку ножом.,0657_elvag_m.mp3
658,csökken,csökkenni,Télen gyorsan csökken a hőmérséklet.,"уменьшаться, снижаться",Зимой температура быстро снижается.,0658_csokken_m.mp3
659,etet,etetni,Reggel mindig etetem a macskát.,кормить,Утром я всегда кормлю кошку.,0659_etet_m.mp3
660,megúszik,megúszni,Szerencsére megúsztam a büntetést.,"избежать, отделаться","К счастью, я отделался без штрафа.",0660_meguszik_m.mp3
661,meghoz,meghozni,Ma meghozzuk a fontos döntést.,принести; принять (решение),Сегодня мы примем важное решение.,0661_meghoz_m.mp3
662,kussol ⚠️,kussolni,"Most kussolj egy kicsit, kérlek!","помалкивать, заткнуться","Помолчи сейчас немного, пожалуйста!",0662_kussol_m.mp3
663,felír,felírni,Felírom a címet egy papírra.,"записать, выписать",Я записываю адрес на бумажку.,0663_felir_m.mp3
664,vonul,vonulni,A tüntetők lassan vonulnak a téren.,"двигаться (колонной), шествовать",Демонстранты медленно шествуют по площади.,0664_vonul_m.mp3
665,izgat,izgatni,Nagyon izgatom magam a vizsga előtt.,"волновать, возбуждать; (себя) — волноваться",Я очень волнуюсь перед экзаменом.,0665_izgat_m.mp3
666,mondogat,mondogatni,"Gyakran mondogatja, hogy fáradt.","поговаривать, твердить","Он часто твердит, что устал.",0666_mondogat_m.mp3
667,pakol,pakolni,Most pakolom a bőröndömet.,"паковать, складывать",Сейчас я укладываю свой чемодан.,0667_pakol_m.mp3
668,megkönnyebbül,megkönnyebbülni,A jó hír hallatán végre megkönnyebbültem.,почувствовать облегчение,"Услышав хорошую новость, я наконец почувствовал облегчение.",0668_megkonnyebbul_m.mp3
669,emelkedik,emelkedni,A nap lassan emelkedik az égen.,"подниматься, возвышаться",Солнце медленно поднимается на небе.,0669_emelkedik_m.mp3
670,meglehet,meglehetni,"Meglehet, hogy holnap esik az eső.","возможно, может быть","Возможно, завтра будет дождь.",0670_meglehet_m.mp3
671,meglepődik,meglepődni,Nagyon meglepődtem az ajándékon.,удивляться / удивиться (чему-л.),Я очень удивился подарку.,0671_meglepodik_m.mp3
672,garantál,garantálni,Garantálom a gyors szállítást holnapra.,гарантировать,Я гарантирую быструю доставку к завтрашнему дню.,0672_garantal_m.mp3
673,elfoglal,elfoglalni,Mindig elfoglalom a legjobb helyet.,"занимать, захватывать",Я всегда занимаю лучшее место.,0673_elfoglal_m.mp3
674,megver,megverni,Tegnap megvertek a meccsen.,"избить, побить",Вчера меня побили на матче.,0674_megver_m.mp3
675,bevisz,bevinni,Reggel beviszem a biciklit a garázsba.,"вносить, заводить (внутрь)",Утром я завожу велосипед в гараж.,0675_bevisz_m.mp3
676,bérel,bérelni,Nyáron egy kis lakást bérelünk a tengernél.,"арендовать, снимать",Летом мы снимаем маленькую квартиру у моря.,0676_berel_m.mp3
677,megiszik,meginni,Reggel mindig megiszom egy csésze kávét.,выпить,Утром я всегда выпиваю чашку кофе.,0677_megiszik_m.mp3
678,dumál,dumálni,Egész nap a barátaimmal dumálok.,"болтать, трепаться (разг.)",Я целый день болтаю с друзьями.,0678_dumal_m.mp3
679,kivisz,kivinni,Reggel kiviszem a szemetet.,"выносить, вывозить",Утром я выношу мусор.,0679_kivisz_m.mp3
680,bűzlik,bűzleni,A szemét már nagyon bűzlik a konyhában.,"вонять, смердеть",Мусор уже сильно воняет на кухне.,0680_buzlik_m.mp3
681,teremt,teremteni,Gyönyörű világot teremtek.,создаю,Я создаю прекрасный мир.,0681_teremt_m.mp3
682,visszaszerez,visszaszerezni,Tegnap visszaszereztem a pénzemet.,"вернуть, отвоевать (обратно)",Вчера я вернул свои деньги.,0682_visszaszerez_m.mp3
683,kirabol,kirabolni,Tegnap kiraboltak egy nagy bankot.,ограбить,Вчера они ограбили большой банк.,0683_kirabol_m.mp3
684,akadályoz,akadályozni,Néha akadályozlak a tanulásban.,"мешать, препятствовать (кому-л.)",Иногда я мешаю тебе учиться.,0684_akadalyoz_m.mp3
685,titkol,titkolni,Titkolom az érzéseimet előled.,"скрывать, таить",Я скрываю свои чувства от тебя.,0685_titkol_m.mp3
686,nyír,nyírni,Minden héten nyírom a füvet.,"стричь, косить",Каждую неделю я кошу траву.,0686_nyir_m.mp3
687,bejelent,bejelenteni,Holnap bejelentem a jó hírt.,"объявлять, заявлять",Завтра я объявлю хорошую новость.,0687_bejelent_m.mp3
688,visszaér,visszaérni,Estére biztosan visszaérek a városból.,"вернуться, успеть назад",К вечеру я точно вернусь из города.,0688_visszaer_m.mp3
689,kóstol,kóstolni,Ma este új levest kóstolok.,пробовать (на вкус),Сегодня вечером я пробую новый суп.,0689_kostol_m.mp3
690,vérzik,vérezni,Erősen vérzik az ujjam.,кровоточить,Мой палец сильно кровоточит.,0690_verzik_m.mp3
691,ízlik,ízleni,Nagyon ízlik nekem ez a leves.,"быть вкусным, нравиться (о еде)",Этот суп мне очень нравится (очень вкусный).,0691_izlik_m.mp3
692,belegondol,belegondolni,"Ha jobban belegondolok, igazad van.","вдуматься, поразмыслить","Если я хорошенько подумаю, ты прав.",0692_belegondol_m.mp3
693,megbíz,megbízni,Megbíztalak egy fontos feladattal.,поручать (кому-л. что-л.),Я поручил тебе важное задание.,0693_megbiz_m.mp3
694,lerombol,lerombolni,Tegnap lerombolták a régi házat.,"снести, разрушить",Вчера снесли старый дом.,0694_lerombol_m.mp3
695,hazavisz,hazavinni,Este hazaviszem a barátomat kocsival.,отвезти/отнести домой,Вечером я отвезу своего друга домой на машине.,0695_hazavisz_m.mp3
696,tettet,tettetni,Néha betegséget tettetek a munkahelyen.,"притворяться, симулировать",Иногда я притворяюсь больным на работе.,0696_tettet_m.mp3
697,létrehoz,létrehozni,Tegnap létrehoztam egy új e-mail-fiókot.,"создавать, учреждать",Вчера я создал новый почтовый ящик.,0697_letrehoz_m.mp3
698,felhasznál,felhasználni,Ma minden tojást felhasználtam a süteményhez.,"использовать, израсходовать",Сегодня я использовала все яйца для пирога.,0698_felhasznal_m.mp3
699,visszavon,visszavonni,Tegnap visszavontam a kérdésemet.,"отзывать, отменять",Вчера я отозвал свой вопрос.,0699_visszavon_m.mp3
700,szakad,szakadni,Mindig szakadok a nevetéstől.,умирать (от смеха),Я всегда умираю от смеха.,0700_szakad_m.mp3
701,helyrehoz,helyrehozni,Holnap helyrehozom a hibámat.,"исправлять, налаживать",Завтра я исправлю свою ошибку.,0701_helyrehoz_m.mp3
702,átjön,átjönni,Holnap átjössz hozzánk vacsorára?,"заходить (в гости), приходить",Ты завтра зайдёшь к нам на ужин?,0702_atjon_m.mp3
703,elfut,elfutni,A kutya gyorsan elfutott az utcán.,убегать,Собака быстро убежала по улице.,0703_elfut_m.mp3
704,gyújt,gyújtani,Este gyertyát gyújtok a konyhában.,зажигать,Вечером я зажигаю свечу на кухне.,0704_gyujt_m.mp3
705,tartalmaz,tartalmazni,Ez a leves sok zöldséget tartalmaz.,"содержать, включать в себя",Этот суп содержит много овощей.,0705_tartalmaz_m.mp3
706,hülyéskedik,hülyéskedni,"Ne hülyéskedj most, sietünk!","валять дурака, дурачиться","Не валяй дурака сейчас, мы спешим!",0706_hulyeskedik_m.mp3
707,leszar ⚠️,leszarni,Én leszarom az egészet.,"плевать на (что-л.), забить на",Мне плевать на всё это.,0707_leszar_m.mp3
708,kínoz,kínozni,Ne kínozd a macskát!,мучить,Не мучай кошку!,0708_kinoz_m.mp3
709,megjavít,megjavítani,Tegnap megjavítottam a régi kerékpárt.,"починить, исправить",Вчера я починил старый велосипед.,0709_megjavit_m.mp3
710,szül,szülni,Tavaly egészséges kislányt szült.,рожать / родить,В прошлом году она родила здоровую девочку.,0710_szul_m.mp3
711,csodálkozik,csodálkozni,Nagyon csodálkozom a hideg időn.,удивляться (чему-л.),Я очень удивляюсь холодной погоде.,0711_csodalkozik_m.mp3
712,betesz,betenni,Beteszem a tejet a hűtőbe.,"класть/ставить внутрь, помещать",Я ставлю молоко в холодильник.,0712_betesz_m.mp3
713,zaklat,zaklatni,Ne zaklass engem ilyen késő este!,"приставать, домогаться, беспокоить",Не приставай ко мне так поздно вечером!,0713_zaklat_m.mp3
714,ölel,ölelni,Boldogan ölelem a barátomat.,обнимать,Я счастливо обнимаю своего друга.,0714_olel_m.mp3
715,megérint,megérinteni,Óvatosan megérintettem a forró tányért.,"коснуться, дотронуться (до чего-л.)",Я осторожно дотронулся до горячей тарелки.,0715_megerint_m.mp3
716,ránéz,ránézni,Reggel mindig ránézek az órára.,взглянуть (на) — ránéz valamire,Утром я всегда смотрю на часы.,0716_ranez_m.mp3
717,visszavonul,visszavonulni,Este korán visszavonulok a szobámba.,"удаляться, отступать, уходить на покой",Вечером я рано удаляюсь в свою комнату.,0717_visszavonul_m.mp3
718,benéz,benézni,Holnap benézek hozzátok egy kávéra.,"заглянуть, зайти (ненадолго)",Завтра я загляну к вам на чашку кофе.,0718_benez_m.mp3
719,pusztít,pusztítani,A vihar gyakran pusztítja a falvakat.,"уничтожать, опустошать",Буря часто опустошает деревни.,0719_pusztit_m.mp3
720,uralkodik,uralkodni,Sokáig uralkodott az országban.,правил,Он долго правил в стране.,0720_uralkodik_m.mp3
721,ront,rontani,A sok cukor rontja az egészséget.,"портить, ухудшать",Много сахара портит здоровье.,0721_ront_m.mp3
722,idéz,idézni,Gyakran idézem a kedvenc írómat.,цитировать,Я часто цитирую моего любимого писателя.,0722_idez_m.mp3
723,megragad,megragadni,Gyorsan megragadtam a kezét.,"схватить, ухватить",Я быстро схватил его руку.,0723_megragad_m.mp3
724,találgat,találgatni,Egész nap találgattuk a helyes választ.,"гадать, строить догадки","Мы весь день гадали, какой ответ правильный.",0724_talalgat_m.mp3
725,meghúz,meghúzni,Erősen meghúztam a csavart.,"затянуть, потянуть",Я крепко затянул винт.,0725_meghuz_m.mp3
726,bead,beadni,Holnap beadom a kérvényt az irodában.,"подавать / подать, сдавать",Завтра я подам заявление в офисе.,0726_bead_m.mp3
727,aggaszt,aggasztani,Mostanában nagyon aggasztasz engem.,"тревожить, беспокоить (кого-л.)",В последнее время ты меня очень тревожишь.,0727_aggaszt_m.mp3
728,kapcsolódik,kapcsolódni,Ma este szívesen kapcsolódom a beszélgetéshez.,присоединяться,Сегодня вечером я с удовольствием присоединюсь к разговору.,0728_kapcsolodik_m.mp3
729,utasít,utasítani,"Most arra utasítalak, hogy maradj.",приказывать,Сейчас я приказываю тебе остаться.,0729_utasit_m.mp3
730,befolyásol,befolyásolni,Az időjárás gyakran befolyásolja a hangulatomat.,влиять / повлиять (на что-л.),Погода часто влияет на моё настроение.,0730_befolyasol_m.mp3
731,megerőszakol,megerőszakolni,A bíróság szerint megerőszakolta az áldozatot.,изнасиловать (кого-л.),"По мнению суда, он изнасиловал жертву.",0731_megeroszakol_m.mp3
732,átkutat,átkutatni,Tegnap átkutattam az egész lakást.,обыскивать / обыскать,Вчера я обыскал всю квартиру.,0732_atkutat_m.mp3
733,elmúlik,elmúlni,Már elmúltam húszéves.,проходить / пройти; миновать (о возрасте — исполниться больше),Мне уже больше двадцати лет.,0733_elmulik_m.mp3
734,dől,dőlni,"Vigyázz, mert a falnak dőlsz!",прислонишься,"Осторожно, а то ты прислонишься к стене!",0734_dol_m.mp3
735,fejlődik,fejlődni,Mostanában sokat fejlődöm a magyarban.,прогрессирую,В последнее время я сильно прогрессирую в венгерском.,0735_fejlodik_m.mp3
736,megbánt,megbántani,Tegnap véletlenül megbántottam a barátomat.,обижать / обидеть (кого-л.),Вчера я случайно обидел своего друга.,0736_megbant_m.mp3
737,mozgat,mozgatni,Reggel mindig mozgatom a karomat.,"двигать, шевелить (что-л.)",Утром я всегда двигаю рукой.,0737_mozgat_m.mp3
738,harap,harapni,A kutya néha megijed és harap.,кусать / укусить,Собака иногда пугается и кусает.,0738_harap_m.mp3
739,parkol,parkolni,Mindig a ház előtt parkolok.,парковаться,Я всегда паркуюсь перед домом.,0739_parkol_m.mp3
740,vonatkozik,vonatkozni,Ez a szabály mindenkire vonatkozik.,"относиться, касаться (кого/чего — -re/-ra)",Это правило относится ко всем.,0740_vonatkozik_m.mp3
741,hozzászokik,hozzászokni,Lassan hozzászokom az új munkához.,привыкать (к чему-л.),Я постепенно привыкаю к новой работе.,0741_hozzaszokik_m.mp3
742,kiver,kiverni,Tegnap kivertem a port a szőnyegből.,выбить,Вчера я выбил пыль из ковра.,0742_kiver_m.mp3
743,lejön,lejönni,Mindjárt lejövök a lépcsőn.,спускаться / спуститься,Я сейчас спущусь по лестнице.,0743_lejon_m.mp3
744,összehoz,összehozni,Tegnap összehoztam egy fontos találkozót.,организовать,Вчера я организовал важную встречу.,0744_osszehoz_m.mp3
745,különbözik,különbözni,Ez a város nagyon különbözik a miénktől.,отличаться (от чего-л.),Этот город очень отличается от нашего.,0745_kulonbozik_m.mp3
746,kilyukad,kilyukadni,Tegnap kilyukadt a zoknim a sétán.,"прохудиться, продырявиться",Вчера на прогулке у меня прохудился носок.,0746_kilyukad_m.mp3
747,üzletel,üzletelni,Régóta üzletelünk ezzel a céggel.,"вести дела, торговать",Мы давно ведём дела с этой фирмой.,0747_uzletel_m.mp3
748,szalad,szaladni,Reggelente a parkban szaladok.,бегаю,По утрам я бегаю в парке.,0748_szalad_m.mp3
749,belehal,belehalni,Majdnem belehaltam a szégyenbe tegnap.,умереть от чего-либо (belehalni vmibe),Я вчера чуть не умер от стыда.,0749_belehal_m.mp3
750,unatkozik,unatkozni,Mindig unatkozom a buszon.,"скучать, томиться от скуки",Я всегда скучаю в автобусе.,0750_unatkozik_m.mp3
751,beszáll,beszállni,Reggel mindig beszállok a buszba.,садиться (в транспорт),Утром я всегда сажусь в автобус.,0751_beszall_m.mp3
752,örököl,örökölni,Tavaly egy régi házat örököltem.,наследовать / унаследовать,В прошлом году я унаследовал старый дом.,0752_orokol_m.mp3
753,engedélyez,engedélyezni,Ma engedélyeztem a szabadságodat.,разрешил,Сегодня я разрешил твой отпуск.,0753_engedelyez_m.mp3
754,összeházasodik,összeházasodni,Tavaly nyáron házasodtunk össze.,"пожениться, вступить в брак",Прошлым летом мы поженились.,0754_osszehazasodik_m.mp3
755,gyógyul,gyógyulni,A seb gyorsan gyógyul.,"выздоравливать, заживать",Рана быстро заживает.,0755_gyogyul_m.mp3
756,közelít,közelíteni,A vonat lassan közelít az állomáshoz.,приближаться (к чему-л.),Поезд медленно приближается к станции.,0756_kozelit_m.mp3
757,ragyog,ragyogni,Ma reggel ragyogok a boldogságtól.,"сиять, сверкать",Сегодня утром я сияю от счастья.,0757_ragyog_m.mp3
758,erőltet,erőltetni,Ne erőltesd a dolgot!,форсировать,Не форсируй это дело!,0758_eroltet_m.mp3
759,sodor,sodorni,Reggel cigarettát sodrok a kertben.,скручивать; нести (течением),Утром я скручиваю сигарету в саду.,0759_sodor_m.mp3
760,nyílik,nyílni,Tavasszal nyílnak a virágok a kertben.,"распускаться, открываться",Весной в саду распускаются цветы.,0760_nyilik_m.mp3
761,súg,súgni,Halkan súgok neked egy titkot.,"шептать, подсказывать (на ухо)",Я тихо шепну тебе один секрет.,0761_sug_m.mp3
762,gyanít,gyanítani,"Gyanítom, hogy ma esni fog.","подозревать, догадываться","Подозреваю, что сегодня будет дождь.",0762_gyanit_m.mp3
763,kitart,kitartani,Még két napig kitartok a diétám mellett.,"держаться, выдерживать",Я продержусь на своей диете ещё два дня.,0763_kitart_m.mp3
764,óhajt,óhajtani,Békét és nyugalmat óhajtok.,желаю,Я желаю мира и покоя.,0764_ohajt_m.mp3
765,megsért,megsérteni,"Ne haragudj, nem akartalak megsérteni.","обижать, оскорблять","Не сердись, я не хотел тебя обидеть.",0765_megsert_m.mp3
766,beleszeret,beleszeretni,Első látásra beleszerettem a városba.,влюбляться / влюбиться (в кого-/что-л.),Я влюбился в этот город с первого взгляда.,0766_beleszeret_m.mp3
767,megtagad,megtagadni,Mindig megtagadom tőle a segítséget.,отказывать,Я всегда отказываю ему в помощи.,0767_megtagad_m.mp3
768,együttműködik,együttműködni,Szívesen együttműködöm a csapattal.,сотрудничать (с кем-л.),Я охотно сотрудничаю с командой.,0768_egyuttmukodik_m.mp3
769,edz,edzeni,Minden reggel a parkban edzek.,тренироваться,Каждое утро я тренируюсь в парке.,0769_edz_m.mp3
770,fogy,fogyni,Gyorsan fogy a pénzünk.,"убывать, кончаться; худеть",Наши деньги быстро кончаются.,0770_fogy_m.mp3
771,fázik,fázni,Télen mindig nagyon fázom.,"мёрзнуть, зябнуть",Зимой я всегда очень мёрзну.,0771_fazik_m.mp3
772,jegyez,jegyezni,Mindig jegyzem a határidőket a naptáramba.,"записывать, замечать",Я всегда записываю сроки в свой календарь.,0772_jegyez_m.mp3
773,ismétel,ismételni,Lefekvés előtt gyakran ismétlem a szavakat.,повторять / повторить,Перед сном я часто повторяю слова.,0773_ismetel_m.mp3
774,rémlik,rémleni,"Most úgy rémlik, hogy bezártam az ajtót.","смутно припоминаться, казаться","Сейчас мне смутно помнится, что я запер дверь.",0774_remlik_m.mp3
775,megesik,megesni,Velem is megesik néha.,"случаться, происходить",Со мной это тоже иногда случается.,0775_megesik_m.mp3
776,dong,dongani,Egy méh hangosan dong a kertben.,"жужжать, гудеть",Пчела громко жужжит в саду.,0776_dong_m.mp3
777,közeleg,közelegni,Lassan közeleg a tavasz.,"приближаться, надвигаться",Медленно приближается весна.,0777_kozeleg_m.mp3
778,időzít,időzíteni,Az utazást a nyári szünetre időzítettem.,"приурочивать, выбирать время",Я приурочил поездку к летним каникулам.,0778_idozit_m.mp3
779,igazol,igazolni,Holnap igazolom a hiányzásomat az orvosnál.,подтвержу,Завтра я подтвержу своё отсутствие у врача.,0779_igazol_m.mp3
780,elkísér,elkísérni,Reggel elkísérlek a buszmegállóig.,"провожать, сопровождать (кого-л.)",Утром я провожу тебя до автобусной остановки.,0780_elkiser_m.mp3
781,bujkál,bujkálni,Egész nap a szobájában bujkált.,"прятаться, скрываться",Он весь день прятался в своей комнате.,0781_bujkal_m.mp3
782,eltávolít,eltávolítani,Gyorsan eltávolítom a foltot a pólóról.,"удалять / удалить, устранять",Я быстро удаляю пятно с футболки.,0782_eltavolit_m.mp3
783,visszavisz,visszavinni,Holnap visszaviszem a könyvet a könyvtárba.,"относить обратно, возвращать",Завтра я отнесу книгу обратно в библиотеку.,0783_visszavisz_m.mp3
784,temet,temetni,Ma temetik a katonákat a temetőben.,хоронить,Сегодня хоронят солдат на кладбище.,0784_temet_m.mp3
785,megzavar,megzavarni,"Bocsánat, megzavartalak a munkában?","мешать, сбивать с толку","Извини, я помешал тебе в работе?",0785_megzavar_m.mp3
786,szökik,szökni,Éjjel szöktem a börtönből.,сбежать,Ночью я сбежал из тюрьмы.,0786_szokik_m.mp3
787,megköszön,megköszönni,Megköszöntem a tanárnőnek a segítséget.,поблагодарить (за что-л. кого-л.),Я поблагодарил учительницу за помощь.,0787_megkoszon_m.mp3
788,kimarad,kimaradni,Sajnos kimaradtam a buliból.,"пропускать, оставаться вне (чего-л.)","К сожалению, я пропустил вечеринку.",0788_kimarad_m.mp3
789,tartózkodik,tartózkodni,Most a szállodában tartózkodom.,"находиться, пребывать",Сейчас я нахожусь в гостинице.,0789_tartozkodik_m.mp3
790,feltör,feltörni,Tegnap feltörték az e-mail fiókomat.,взломать; вскрыть,Вчера взломали мой почтовый ящик.,0790_feltor_m.mp3
791,erősít,erősíteni,Minden reggel edzéssel erősítem a hátizmaimat.,укреплять / усиливать,Каждое утро я укрепляю мышцы спины тренировкой.,0791_erosit_m.mp3
792,ural,uralni,Sokáig uralták az egész vidéket.,"господствовать, властвовать над (+ вин. падеж)",Они долго господствовали над всей округой.,0792_ural_m.mp3
793,szabadít,szabadítani,Most szabadítjuk a foglyot a rabságból.,освобождаем,Сейчас мы освобождаем пленника из плена.,0793_szabadit_m.mp3
794,vonz,vonzani,A nagyvárosok mindig vonzanak engem.,привлекать,Большие города всегда привлекают меня.,0794_vonz_m.mp3
795,becsül,becsülni,Nagyon becsüllek téged a munkádért.,"уважать, ценить",Я очень ценю тебя за твою работу.,0795_becsul_m.mp3
796,kizár,kizárni,Ezt a lehetőséget most nem zárom ki.,исключать / исключить,Эту возможность я сейчас не исключаю.,0796_kizar_m.mp3
797,ellát,ellátni,Mindennap friss vízzel látom el a kutyát.,"снабжать, обеспечивать (чем-л.)",Каждый день я обеспечиваю собаку свежей водой.,0797_ellat_m.mp3
798,megsemmisít,megsemmisíteni,A tűz tegnap megsemmisítette a régi raktárt.,уничтожать / уничтожить,Огонь вчера уничтожил старый склад.,0798_megsemmisit_m.mp3
799,megfullad,megfulladni,Majdnem megfulladtam a sűrű füstben.,"задохнуться, утонуть",Я чуть не задохнулся в густом дыму.,0799_megfullad_m.mp3
800,lecsap,lecsapni,Egy légyre csaptam le az asztalon.,прихлопнуть; обрушиться (на что-л.),Я прихлопнул муху на столе.,0800_lecsap_m.mp3
801,becsap,becsapni,Ne csapj be engem többé!,обманывать,Не обманывай меня больше!,0801_becsap_m.mp3
802,kételkedik,kételkedni,Néha kételkedem a döntéseimben.,сомневаться (в ком/чём-л.),Иногда я сомневаюсь в своих решениях.,0802_ketelkedik_m.mp3
